id,output
789,(ORDER (PIZZAORDER ) (DRINKORDER (NUMBER three ) ) (DRINKORDER (VOLUME flavored ) ) (DRINKORDER (VOLUME water ) ) (DRINKORDER (VOLUME one ) ) (DRINKORDER (DRINKTYPE coke ) ) )
790,(ORDER (PIZZAORDER (NUMBER a ) (TOPPING cheese ) (TOPPING peppers ) ) )
791,(ORDER (PIZZAORDER ) (PIZZAORDER (NUMBER 15 ) (SIZE meium size ) (TOPPING gorgonzola ) (TOPPING blac olives ) ) )
792,(ORDER (DRINKORDER (NUMBER nine ) ) (DRINKORDER (NUMBER six ) (SIZE medium sized ) (DRINKTYPE 7 ) ) (DRINKORDER (DRINKTYPE cokes ) ) )
793,(ORDER (PIZZAORDER (NUMBER a ) (TOPPING tomato ) (COMPLEX_TOPPING (QUANTITY tiy bit of ) (TOPPING pineapple ) ) ) )
794,(ORDER (PIZZAORDER (SIZE large ) ) (PIZZAORDER (COMPLEX_TOPPING (QUANTITY a lo of ) (TOPPING bacon ) ) ) )
795,(ORDER (PIZZAORDER (NUMBER a a ) (SIZE small ) (TOPPING onions ) (TOPPING parsley ) ) )
796,(ORDER (PIZZAORDER (NUMBER two ) (SIZE medium sized ) (TOPPING feta ) (TOPPING bay leaves ) (TOPPING roasted eggplant ) ) )
797,(ORDER (PIZZAORDER ) (PIZZAORDER (COMPLEX_TOPPING (QUANTITY three ) (TOPPING diet coke ) ) ) )
798,(ORDER (PIZZAORDER ) (PIZZAORDER (NUMBER a ) (STYLE xl ) (TOPPING lettuce ) (TOPPING ligt ) ) )
799,(ORDER (PIZZAORDER (NUMBER a ) (SIZE extra large ) (STYLE new york style ) (TOPPING roasted ) (TOPPING cherry ) (TOPPING tomatoes ) (TOPPING mushroom ) ) (DRINKORDER (SIZE large ) ) (DRINKORDER (DRINKTYPE ginger ) ) (DRINKORDER (DRINKTYPE ale ) ) )
800,(ORDER (PIZZAORDER (NUMBER a ) (COMPLEX_TOPPING (QUANTITY tiny bit of pine ) (TOPPING peppers ) ) ) )
801,(ORDER (PIZZAORDER (NUMBER a ) (SIZE medium sized ) (TOPPING cheese ) (TOPPING bay leaves ) ) )
802,(ORDER (PIZZAORDER ) (PIZZAORDER (NUMBER one ) (SIZE large ) (TOPPING olive ) (TOPPING pineapple ) ) )
803,(ORDER (PIZZAORDER (NUMBER a ) (SIZE large ) (TOPPING corn ) (TOPPING jaleenos ) (TOPPING onions ) ) )
804,(ORDER (PIZZAORDER (NUMBER size ) (TOPPING pepperoni ) ) )
805,(ORDER (PIZZAORDER (NUMBER a ) (SIZE small size ) (STYLE the toppings should be ) (NOT (TOPPING sausage only ) ) ) )
806,(ORDER (PIZZAORDER (NUMBER one ) (STYLE xl red onin ) (COMPLEX_TOPPING (QUANTITY a bunch ) (TOPPING black olives ) ) ) )
807,(ORDER (PIZZAORDER (SIZE medium sized ) (STYLE bell ) (COMPLEX_TOPPING (QUANTITY a corn ) (TOPPING green ) ) (TOPPING peppers ) ) )
808,(ORDER (PIZZAORDER (NUMBER a ) (SIZE large ) (STYLE exra ) (TOPPING mushrooms ) (TOPPING hot peppers juice ) ) )
809,(ORDER (PIZZAORDER (NUMBER a ) (SIZE medium sized ) (TOPPING buffalo sauce ) (TOPPING broccoli ) ) )
810,(ORDER (PIZZAORDER (SIZE personal size ) (TOPPING in ) (TOPPING bay ) (TOPPING leaves ) ) )
811,(ORDER (PIZZAORDER ) (PIZZAORDER (NUMBER a ) (SIZE large ) (TOPPING garlic powder ) (TOPPING black olive ) ) )
812,(ORDER (PIZZAORDER (NUMBER place ) ) (PIZZAORDER (TOPPING artichokes ) ) )
813,(ORDER (PIZZAORDER (SIZE medium ) (COMPLEX_TOPPING (QUANTITY a ) (TOPPING balsamic glaze ) ) (TOPPING pesto ) ) )
814,(ORDER (PIZZAORDER ) (PIZZAORDER (SIZE a medium sized ) (TOPPING banana peppers ) (TOPPING grilled chicken ) ) )
815,(ORDER (PIZZAORDER (NUMBER 6 ) (SIZE small ) (TOPPING prosciutto ) (TOPPING onon ) ) )
816,(ORDER (PIZZAORDER ) (PIZZAORDER ) (PIZZAORDER (NUMBER a ) (SIZE large ) (NOT (TOPPING bbqchicken ) ) (COMPLEX_TOPPING (QUANTITY extra ) (TOPPING cheese ) ) ) )
817,(ORDER (PIZZAORDER ) (PIZZAORDER (NUMBER 1 ) (STYLE cucumber fontina cheese ) (STYLE thin crust ) (TOPPING large ) (TOPPING including ) ) )
818,(ORDER (PIZZAORDER (NUMBER 1 ) (TOPPING pesto ) (TOPPING lettuce ) ) )
819,(ORDER (PIZZAORDER (STYLE smoked ) (TOPPING salon ) (TOPPING sausage ) ) )
820,(ORDER (PIZZAORDER (NUMBER 1 ) (SIZE medium ) (TOPPING arugula ) (TOPPING parsley ) ) )
821,(ORDER (PIZZAORDER (SIZE medium ) (COMPLEX_TOPPING (QUANTITY a ) (TOPPING sausage ) ) (TOPPING onions ) ) )
822,(ORDER (DRINKORDER (NUMBER a ) ) (DRINKORDER (VOLUME two ) ) (DRINKORDER (DRINKTYPE liter ) ) (DRINKORDER (DRINKTYPE soy ) ) )
823,(ORDER (PIZZAORDER (NUMBER a ) ) (PIZZAORDER ) (PIZZAORDER (TOPPING peas ) (TOPPING mushrooms ) ) )
824,(ORDER (PIZZAORDER (NUMBER a ) (SIZE medum size ) (TOPPING prosciutto ) (TOPPING sauce ) (TOPPING ham ) ) )
825,(ORDER (PIZZAORDER (COMPLEX_TOPPING (QUANTITY a ) (TOPPING broccoli ) ) ) )
826,(ORDER (PIZZAORDER (NUMBER a ) (TOPPING chorizo ) (TOPPING roasted garlic ) ) )
827,(ORDER (PIZZAORDER (NUMBER nine ) (SIZE small ) (TOPPING tomatoes ) ) )
828,(ORDER (PIZZAORDER ) (PIZZAORDER (NUMBER a ) (SIZE mdium sized ) (TOPPING tomato sauce ) (TOPPING ham ) ) )
829,(ORDER (PIZZAORDER (NUMBER a ) (SIZE extra ) (STYLE arge ) (TOPPING bacon ) ) )
830,(ORDER (PIZZAORDER (NUMBER a ) (SIZE personal ) (STYLE tofu ) (TOPPING toato ) (TOPPING pineapple ) ) )
831,(ORDER (PIZZAORDER ) (PIZZAORDER (NUMBER ten ) (TOPPING green bell ) (TOPPING red ) ) )
832,(ORDER (PIZZAORDER ) (PIZZAORDER (NUMBER a ) (SIZE medium ) (STYLE sie ) (TOPPING apple ) (TOPPING carrots ) (TOPPING pesto ) ) )
833,(ORDER (PIZZAORDER ) (PIZZAORDER ) (PIZZAORDER (NUMBER a ) (SIZE personal ) (TOPPING jalapenos ) (TOPPING salami italiansausage ) ) )
834,(ORDER (PIZZAORDER (SIZE medium ) (TOPPING peppers ) (TOPPING bacon ) ) )
835,(ORDER (PIZZAORDER (NUMBER a ) (STYLE xl ) (TOPPING cherry ) (TOPPING tomatoes ) (TOPPING pineapple ) ) )
836,(ORDER (PIZZAORDER (SIZE extra ) (STYLE arge ) (COMPLEX_TOPPING (QUANTITY a ) (TOPPING prawns ) ) (TOPPING peppers ) ) )
837,(ORDER (PIZZAORDER (NUMBER four ) (SIZE medium sized ) (TOPPING green peppers ) ) )
838,(ORDER (PIZZAORDER (NUMBER a ) (SIZE large ) (TOPPING parmesan ) (TOPPING pepperoni ) ) )
839,(ORDER (PIZZAORDER ) (PIZZAORDER (COMPLEX_TOPPING (QUANTITY a ) (TOPPING parsley ) ) (TOPPING peppers ) ) )
840,(ORDER (PIZZAORDER (NUMBER a ) (TOPPING bacon ) (TOPPING pepper ) ) )
841,(ORDER (PIZZAORDER (NUMBER a ) (STYLE persnal ) (TOPPING meatball ) (TOPPING basil ) (TOPPING garlic powder ) ) )
842,(ORDER (PIZZAORDER ) (PIZZAORDER (STYLE thin crust ) (TOPPING feta ) ) )
843,(ORDER (PIZZAORDER ) (PIZZAORDER (NUMBER a ) (SIZE medium size ) (TOPPING truffle oil ) ) )
844,(ORDER (PIZZAORDER (NUMBER a ) (STYLE med bell ) (STYLE sweet potatoes ) (TOPPING parmasean ) ) )
845,(ORDER (PIZZAORDER (NUMBER a ) (SIZE medium ) (STYLE sze ) (TOPPING pesto sauce ) (TOPPING mushrooms ) (TOPPING ham ) ) )
846,(ORDER (PIZZAORDER (NUMBER 1 ) (STYLE largesize ) (TOPPING lamb ) (TOPPING bbq chicken ) ) )
847,(ORDER (PIZZAORDER (NUMBER include ) (TOPPING pesto ) (TOPPING cheese ) ) )
848,(ORDER (PIZZAORDER (NUMBER a ) (SIZE extra large ) (STYLE not ) (TOPPING chicken ) (TOPPING tuna ) (TOPPING corn ) ) )
849,(ORDER (PIZZAORDER (NUMBER a ) (SIZE medium size ) (TOPPING seeds ) (TOPPING olives but avoid ) ) )
850,(ORDER (PIZZAORDER (NUMBER a ) (SIZE medium ) (TOPPING oregano ) (TOPPING bbq sauce ) ) )
851,(ORDER (PIZZAORDER (NUMBER one ) (SIZE large ) (TOPPING lemon zest ) (TOPPING cheeseburger ) ) )
852,(ORDER (PIZZAORDER ) (PIZZAORDER (NUMBER a ) (SIZE small ) (STYLE thin crust ) (TOPPING poppy seeds sauce ) ) )
853,(ORDER (PIZZAORDER (SIZE personal ) (COMPLEX_TOPPING (QUANTITY four ) (TOPPING sweet ) ) (TOPPING potatoes argula ) ) )
854,(ORDER (PIZZAORDER (NUMBER 10 ) (SIZE personal ) ) )
855,(ORDER (PIZZAORDER ) (PIZZAORDER (TOPPING bacon ) (TOPPING parsley ) ) )
856,(ORDER (PIZZAORDER ) (PIZZAORDER (NUMBER two ) (SIZE medium ) (STYLE total ) (TOPPING broccoli ) (TOPPING cicken ) ) )
857,(ORDER (PIZZAORDER (TOPPING alfredo ) (TOPPING pepperonis ) ) )
858,(ORDER (PIZZAORDER (TOPPING red peppers ) ) )
859,(ORDER (PIZZAORDER (NUMBER one ) (SIZE exra large ) (TOPPING carrots ) (TOPPING prawns ) ) (DRINKORDER ) )
860,(ORDER (PIZZAORDER ) (PIZZAORDER ) (PIZZAORDER (NUMBER sure ) (SIZE extra large ) ) )
861,(ORDER (PIZZAORDER (NUMBER a ) (TOPPING cheese ) (TOPPING roasted eggplant ) ) )
862,(ORDER (PIZZAORDER ) (PIZZAORDER (NUMBER a ) (TOPPING sauce ) (TOPPING caramelized onions ) ) )
863,(ORDER (PIZZAORDER (NUMBER little ) (TOPPING roasted tomatoes ) ) )
864,(ORDER (PIZZAORDER (NUMBER a ) ) (PIZZAORDER (TOPPING pesto ) ) )
865,(ORDER (PIZZAORDER (NUMBER a ) (TOPPING tuna ) (TOPPING shrimp ) ) )
866,(ORDER (PIZZAORDER (STYLE xl ) (STYLE thin crust ) (TOPPING duck ) ) )
867,(ORDER (PIZZAORDER (NUMBER just cheese ) (SIZE 1 lunch ) (TOPPING olives ) ) )
868,(ORDER (PIZZAORDER (SIZE large ) (COMPLEX_TOPPING (QUANTITY a ) (TOPPING pesto ) ) (TOPPING pineapple ) ) )
869,(ORDER (PIZZAORDER (STYLE high rise ) (TOPPING prociutto ) (COMPLEX_TOPPING (QUANTITY more ) (TOPPING cheese ) ) ) )
870,(ORDER (PIZZAORDER ) (PIZZAORDER (SIZE otal ) (STYLE sall size ) (TOPPING apple ) (TOPPING pepperoni ) ) )
871,(ORDER (PIZZAORDER ) (PIZZAORDER (NUMBER 1 ) (SIZE large size ) (TOPPING hamburger ) (TOPPING bacon ) ) )
872,(ORDER (PIZZAORDER (NUMBER 10 ) (SIZE personal ) (TOPPING hamburger ) (TOPPING shrimp ) ) )
873,(ORDER (PIZZAORDER (STYLE veggie ) (STYLE veggie ) (NOT (COMPLEX_TOPPING (QUANTITY a little ) (TOPPING anchovies ) ) ) ) )
874,(ORDER (PIZZAORDER (SIZE personl ) (STYLE mshy ) (COMPLEX_TOPPING (QUANTITY a ) (TOPPING peas ) ) (TOPPING cheese ) ) )
875,(ORDER (PIZZAORDER ) (PIZZAORDER (NUMBER a ) (STYLE total of ) (STYLE extra ) (TOPPING lare ) ) (PIZZAORDER (TOPPING grilled chicken ) (TOPPING vegan pepperoni ) ) )
876,(ORDER (PIZZAORDER (NUMBER a ) (STYLE med ) (TOPPING peto ) (TOPPING olives ) ) (PIZZAORDER ) (PIZZAORDER (STYLE sports ) ) )
877,(ORDER (PIZZAORDER ) (PIZZAORDER (NUMBER a ) (TOPPING italian ) (TOPPING sausage ) (TOPPING groundbeef ) ) )
878,(ORDER (PIZZAORDER (NUMBER light ) (STYLE lrge ) (STYLE hummus ) (TOPPING cheese ) ) )
879,(ORDER (PIZZAORDER (NUMBER 1 ) (TOPPING onions ) (TOPPING sausage ) ) )
880,(ORDER (PIZZAORDER (NUMBER a ) (SIZE small ) (TOPPING prawns ) (TOPPING mushrooms ) ) )
881,(ORDER (PIZZAORDER (NUMBER a ) (SIZE medium ) (STYLE sie ) (TOPPING green peppers ) (TOPPING pepperoi ) ) )
882,(ORDER (PIZZAORDER ) (PIZZAORDER (STYLE foureen ) (STYLE pepprs ) (TOPPING green ) (TOPPING ham ) ) (PIZZAORDER (TOPPING foureen ) ) )
883,(ORDER (PIZZAORDER (NUMBER a ) (STYLE lovers ) (COMPLEX_TOPPING (QUANTITY meat ) (TOPPING green pepper ) ) (TOPPING ham ) ) )
884,(ORDER (PIZZAORDER ) (PIZZAORDER (STYLE lare ) (COMPLEX_TOPPING (QUANTITY a ) (TOPPING black olives ) ) (COMPLEX_TOPPING (QUANTITY extra ) (TOPPING parmesan ) ) ) )
885,(ORDER (PIZZAORDER ) (PIZZAORDER (TOPPING capers ) (TOPPING pineapple ) ) )
886,(ORDER (PIZZAORDER (NUMBER six ) (TOPPING italian sausage ) (TOPPING black beans ) ) )
887,(ORDER (PIZZAORDER (SIZE medium size ) ) (DRINKORDER ) (DRINKORDER ) (DRINKORDER (DRINKTYPE dr ) ) )
888,(ORDER (PIZZAORDER ) (PIZZAORDER (NUMBER a ) (TOPPING bbq chicken ) (TOPPING peppers ) ) (PIZZAORDER ) )
889,(ORDER (DRINKORDER (NUMBER 1 ) ) )
890,(ORDER (PIZZAORDER (NUMBER a ) (SIZE extra large ) (TOPPING buffalo sauce ) (TOPPING pepper ) ) )
891,(ORDER (PIZZAORDER (NUMBER a ) (SIZE medium ) (COMPLEX_TOPPING (QUANTITY salami ) (TOPPING olives ) ) (TOPPING mushrooms bacon ) (TOPPING onions ) ) (DRINKORDER (NUMBER one ) (SIZE medium ) ) )
892,(ORDER (PIZZAORDER ) (PIZZAORDER (SIZE med ) (TOPPING onions ) (TOPPING italian susage ) (COMPLEX_TOPPING (QUANTITY extra ) (TOPPING cheese ) ) ) )
893,(ORDER (PIZZAORDER (NUMBER a little ) (STYLE supreme ) (TOPPING bbq sauce ) ) )
894,(ORDER (PIZZAORDER (NUMBER cmin ) (SIZE medium ) (STYLE sied ) (STYLE chicago style ) ) )
895,(ORDER (PIZZAORDER (NUMBER 2 ) (SIZE exra large ) (TOPPING roasted tomatoes ) (TOPPING salami ) (COMPLEX_TOPPING (QUANTITY extra ) (TOPPING cheese ) ) ) )
896,(ORDER (PIZZAORDER (NUMBER a ) (SIZE lunch ) (STYLE new york syle ) ) (PIZZAORDER (TOPPING truffle oil ) ) )
897,(ORDER (PIZZAORDER (NUMBER a ) (TOPPING artichokes ) (TOPPING mushrooms ) ) )
898,(ORDER (PIZZAORDER (NUMBER a ) (SIZE small ) (TOPPING parsley ) (TOPPING olie ) (TOPPING sausage ) ) )
899,(ORDER (PIZZAORDER (NUMBER four ) (TOPPING hamburger ) (TOPPING peppers ) (TOPPING jalapenos ) ) )
900,(ORDER (PIZZAORDER (NUMBER a ) (SIZE large size ) (TOPPING green olives ) (TOPPING bacon ) ) )
901,(ORDER (PIZZAORDER (NUMBER a ) (TOPPING black ) (TOPPING beans ) (TOPPING spinach ) ) )
902,(ORDER (PIZZAORDER (NUMBER 1 ) (TOPPING goat ) (TOPPING cheese ) (TOPPING pineapple ) ) )
903,(ORDER (PIZZAORDER (NUMBER a ) (SIZE medium sized ) (TOPPING salami ) (TOPPING pepperoni ) ) )
904,(ORDER (PIZZAORDER (SIZE medium sized ) (STYLE cicago style ) (COMPLEX_TOPPING (QUANTITY a bunch of ) (TOPPING pepers ) ) ) (DRINKORDER (DRINKTYPE green ) ) )
905,(ORDER (PIZZAORDER (SIZE large ) (STYLE poppy seeds ) ) (DRINKORDER (NUMBER four ) (SIZE large smoothies ) ) )
906,(ORDER (PIZZAORDER (NUMBER a ) (SIZE lage size ) (STYLE onions ) (TOPPING pickled ) (TOPPING mushroom ) ) )
907,(ORDER (PIZZAORDER (NUMBER a ) (STYLE mediumsized ) (TOPPING black ) (TOPPING olive ) (TOPPING pepperoni ) ) )
908,(ORDER (PIZZAORDER (NUMBER thirteen ) (TOPPING peas ) (TOPPING banana pepers ) ) )
909,(ORDER (PIZZAORDER (STYLE med ) (COMPLEX_TOPPING (QUANTITY a ) (TOPPING cucumber ) ) (TOPPING chicken ) ) )
910,(ORDER (PIZZAORDER (NUMBER a ) (SIZE extra large size ) (STYLE lotof garlicpowder veggies ) (TOPPING loer ) (TOPPING pesto ) ) )
911,(ORDER (PIZZAORDER (NUMBER one ) (STYLE med three topping ) (TOPPING sausage ) (TOPPING banana peppers ) ) )
912,(ORDER (PIZZAORDER (NUMBER three ) (SIZE med ) (TOPPING green ) (TOPPING olives ) (TOPPING chorizo ) ) )
913,(ORDER (PIZZAORDER ) (PIZZAORDER (STYLE xl ) (COMPLEX_TOPPING (QUANTITY a ) (TOPPING artichokes ) ) (TOPPING somes canadian bacon supree ) ) )
914,(ORDER (PIZZAORDER (NUMBER a ) (SIZE personal ) (TOPPING apple ) (TOPPING peppers ) ) (PIZZAORDER (TOPPING cheee ) ) )
915,(ORDER (DRINKORDER (NUMBER a ) ) )
916,(ORDER (PIZZAORDER (NUMBER size ) (SIZE small ) (COMPLEX_TOPPING (QUANTITY a ) (TOPPING cheddar cheese ) ) (NOT (TOPPING spinach ) ) ) )
917,(ORDER (PIZZAORDER ) (PIZZAORDER (NUMBER a ) (STYLE lare size ) (TOPPING feta ) (TOPPING olives ) ) )
918,(ORDER (PIZZAORDER (SIZE small ) (TOPPING tomato ) (COMPLEX_TOPPING (QUANTITY extra ) (TOPPING black olives ) ) ) )
919,(ORDER (PIZZAORDER ) (PIZZAORDER (SIZE personal ) (COMPLEX_TOPPING (QUANTITY a bunch of peas ) (TOPPING black olive ) ) (TOPPING mushroom ) ) )
920,(ORDER (PIZZAORDER (SIZE lunch ) (COMPLEX_TOPPING (QUANTITY a ) (TOPPING leeks ) ) (TOPPING garlic powder ) (COMPLEX_TOPPING (QUANTITY extra ) (TOPPING cheese ) ) ) )
921,(ORDER (PIZZAORDER ) (PIZZAORDER (NUMBER 14 ) (TOPPING pineapples ) (TOPPING tomatoes ) ) )
922,(ORDER (PIZZAORDER (NUMBER a style ) (SIZE extra large ) (TOPPING pesto ) (TOPPING mexican ) ) )
923,(ORDER (PIZZAORDER (NUMBER 1 ) (SIZE medium ) (COMPLEX_TOPPING (QUANTITY seeds ) (TOPPING sriracha sauce ) ) ) )
924,(ORDER (PIZZAORDER (NUMBER 1 ) (SIZE large ) (TOPPING sauce ) (TOPPING peppers ) (TOPPING mushrooms ) ) )
925,(ORDER (PIZZAORDER ) (PIZZAORDER (NUMBER canadian ) (SIZE bacon ) (TOPPING ricotta ) (TOPPING cheese ) ) (DRINKORDER (NUMBER a ) ) )
926,(ORDER (PIZZAORDER (NUMBER a ) (SIZE large size ) (TOPPING mushrooms ) (TOPPING chorizo ) (TOPPING jalepenos ) ) (DRINKORDER (NUMBER two ) ) (DRINKORDER (DRINKTYPE flavoed ) ) (DRINKORDER (DRINKTYPE water ) ) )
927,(ORDER (PIZZAORDER (NUMBER 15 ) (STYLE xl ) (TOPPING lamb ) (TOPPING pineapple ) ) )
928,(ORDER (PIZZAORDER (NUMBER a ) (TOPPING salmon ) (TOPPING chorizo ) ) )
929,(ORDER (PIZZAORDER ) (PIZZAORDER ) (PIZZAORDER (TOPPING eiht ) (TOPPING pepperoni ) ) )
930,(ORDER (PIZZAORDER (NUMBER a ) (SIZE medium size ) (TOPPING caramelized onions ) (TOPPING balsamic glaze ) ) )
931,(ORDER (PIZZAORDER ) (PIZZAORDER (NUMBER a ) (SIZE lunch ) (TOPPING apple ) (TOPPING bellpeppers ) ) )
932,(ORDER (PIZZAORDER (SIZE large ) ) (PIZZAORDER (TOPPING hot peppers ) ) (PIZZAORDER (TOPPING bacon ) (TOPPING my ) ) )
933,(ORDER (PIZZAORDER (NUMBER one ) (SIZE large ) (TOPPING chicken ) (TOPPING black olives ) ) (DRINKORDER (NUMBER two ) (SIZE large ) ) (DRINKORDER (DRINKTYPE pepsis ) ) )
934,(ORDER (PIZZAORDER (NUMBER a ) (SIZE personal ) (TOPPING hamburger ) (TOPPING bacon ) ) )
935,(ORDER (PIZZAORDER (NUMBER eight ) (SIZE med ) (TOPPING onions ) (TOPPING olives ) (TOPPING bacon ) ) )
936,(ORDER (PIZZAORDER ) (PIZZAORDER (NUMBER a ) (STYLE med ) (TOPPING bacon ) (TOPPING trufle oil ) (TOPPING pineapple ) ) )
937,(ORDER (PIZZAORDER (NUMBER a ) (SIZE medium size ) (TOPPING roasted red onion ) (COMPLEX_TOPPING (QUANTITY a thin crust ) (TOPPING tuna ) ) ) )
938,(ORDER (PIZZAORDER ) (PIZZAORDER (NUMBER a ) (SIZE large ) (TOPPING mushroom ) (TOPPING tomatoe sauce ) (COMPLEX_TOPPING (QUANTITY little ) (TOPPING cheese ) ) ) )
939,(ORDER (PIZZAORDER (NUMBER a ) (SIZE personal ) (TOPPING chicken ) (TOPPING onion ) ) )
940,(ORDER (PIZZAORDER (NUMBER a ) (TOPPING hamburger ) (TOPPING red ) (TOPPING peppers ) ) )
941,(ORDER (PIZZAORDER (NUMBER two ) (SIZE xl ) (TOPPING ground ) ) (PIZZAORDER (TOPPING onions ) ) (DRINKORDER (NUMBER three ) ) )
942,(ORDER (PIZZAORDER (TOPPING seven gorgonzola ) (TOPPING bay leaves ) ) (DRINKORDER ) )
943,(ORDER (PIZZAORDER (SIZE a ) (STYLE lare ) (TOPPING peas ) (TOPPING pepper ) ) )
944,(ORDER (PIZZAORDER (SIZE medium ) (COMPLEX_TOPPING (QUANTITY a ) (TOPPING carrots ) ) (TOPPING peas ) ) )
945,(ORDER (PIZZAORDER (NUMBER ten ) (SIZE small ) (STYLE vean ) (TOPPING artichokes ) ) )
946,(ORDER (DRINKORDER (NUMBER eight ) (SIZE extra large ) ) (DRINKORDER (DRINKTYPE diet ) ) (DRINKORDER (VOLUME sprites ) ) (DRINKORDER (DRINKTYPE pepsis ) ) )
947,(ORDER (PIZZAORDER (NUMBER a ) (TOPPING pineapples ) (TOPPING black ) (TOPPING eans ) ) )
948,(ORDER (PIZZAORDER (SIZE medium size ) (COMPLEX_TOPPING (QUANTITY a ) (TOPPING chorizo ) ) (COMPLEX_TOPPING (QUANTITY additional ) (TOPPING roastd tomatoes ) ) ) )
949,(ORDER (PIZZAORDER (NUMBER a ) (SIZE large size ) (TOPPING low fat cheese ) (TOPPING cumin ) (TOPPING pepperonis ) ) )
950,(ORDER (PIZZAORDER (NUMBER a ) (SIZE extra large ) (TOPPING mushrooms ) (TOPPING black olives ) ) )
951,(ORDER (PIZZAORDER (NUMBER a ) (TOPPING peppers ) (TOPPING peas ) ) )
952,(ORDER (PIZZAORDER ) (PIZZAORDER (NUMBER 7 ) (SIZE large ) (STYLE sweet corn ) (TOPPING onions ) (COMPLEX_TOPPING (QUANTITY a ) (TOPPING green olives ) ) ) (DRINKORDER (DRINKTYPE to ) ) (DRINKORDER (DRINKTYPE liter ) ) (DRINKORDER (CONTAINERTYPE bottle ) ) )
953,(ORDER (PIZZAORDER (NUMBER 5 ) (SIZE small ) (TOPPING cheddar ) (TOPPING cheese parmsan ) ) )
954,(ORDER (DRINKORDER (NUMBER 6 ) ) (DRINKORDER (CONTAINERTYPE of ) ) )
955,(ORDER (PIZZAORDER (NUMBER a ) (SIZE large size ) (STYLE vegan ) (STYLE all ) ) (DRINKORDER (VOLUME large ) ) (DRINKORDER (DRINKTYPE lemon ) ) (DRINKORDER (DRINKTYPE ice ) ) (DRINKORDER (DRINKTYPE tea ) ) )
956,(ORDER (PIZZAORDER (STYLE in ) ) (PIZZAORDER (NUMBER a ) (STYLE jalepenos ) (TOPPING eat ) (TOPPING light ) (TOPPING cheese ) ) )
957,(ORDER (PIZZAORDER ) (PIZZAORDER (NUMBER a ) (STYLE med ) (TOPPING parmasean ) (TOPPING banana pepper ) ) )
958,(ORDER (PIZZAORDER ) (PIZZAORDER (NUMBER 1 ) (SIZE 1 ) (STYLE sall mexican ) ) )
959,(ORDER (PIZZAORDER ) (PIZZAORDER (SIZE medium ) ) )
960,(ORDER (PIZZAORDER (SIZE a ) (STYLE veggie ) (TOPPING artichokes ) (TOPPING hot peppers ) ) )
961,(ORDER (PIZZAORDER ) (PIZZAORDER ) (PIZZAORDER (NUMBER a ) (SIZE large ) (STYLE all the veggies ) (TOPPING chicken ) (TOPPING pepper ) ) )
962,(ORDER (PIZZAORDER (NUMBER 11 ) (STYLE xl ) (TOPPING mushrooms ) (COMPLEX_TOPPING (QUANTITY chorizo ) (TOPPING green ) ) ) (PIZZAORDER (COMPLEX_TOPPING (QUANTITY extra ) (TOPPING cheese ) ) ) )
963,(ORDER (PIZZAORDER (NUMBER a ) (STYLE a ) (COMPLEX_TOPPING (QUANTITY total of ) (TOPPING green pepper ) ) (TOPPING ham ) ) )
964,(ORDER (PIZZAORDER (NUMBER 1 ) (STYLE xl hummus ) (TOPPING chicken ) ) )
965,(ORDER (PIZZAORDER (NUMBER a ) (SIZE personal ) (TOPPING buffalo sauce ) (TOPPING pepperoni ) ) )
966,(ORDER (PIZZAORDER (NUMBER a ) (SIZE large ) (TOPPING beef ) (TOPPING parsey ) ) )
967,(ORDER (PIZZAORDER (NUMBER a ) (STYLE meium ) (TOPPING sausage ) (TOPPING peppers ) ) )
968,(ORDER (PIZZAORDER (NUMBER 12 ) (SIZE large ) (STYLE pan carrts ) (STYLE juice ) ) )
969,(ORDER (PIZZAORDER (NUMBER two ) (SIZE extra large ) (TOPPING peas ) (TOPPING bacon ) ) )
970,(ORDER (PIZZAORDER (NUMBER a ) (STYLE crust ) (STYLE free crust ) (TOPPING lamb ) ) )
971,(ORDER (PIZZAORDER (NUMBER a ) (SIZE small ) (STYLE stuff crust ) (STYLE big meat ) (COMPLEX_TOPPING (QUANTITY little ) (TOPPING arugula ) ) (COMPLEX_TOPPING (QUANTITY little ) (TOPPING arugula ) ) ) )
972,(ORDER (PIZZAORDER (NUMBER a ) (SIZE personal ) (TOPPING garlic powder ) (TOPPING spicy red sauce ) (TOPPING arugula top ) ) )
973,(ORDER (PIZZAORDER (COMPLEX_TOPPING (QUANTITY 15 ) (TOPPING tomato sauce ) ) (TOPPING cheddar cheese ) ) )
974,(ORDER (PIZZAORDER (NUMBER a ) (SIZE large ) (TOPPING cumin ) (TOPPING chicken ) ) )
975,(ORDER (PIZZAORDER (NUMBER five ) (TOPPING caramelized onions ) (TOPPING banana peppers ) ) )
976,(ORDER (PIZZAORDER (NUMBER 1 ) (SIZE large size ) (TOPPING tomatoes ) ) (DRINKORDER (NUMBER a ) (SIZE two ) ) (DRINKORDER (DRINKTYPE liter ) ) )
977,(ORDER (PIZZAORDER (SIZE medium size ) (COMPLEX_TOPPING (QUANTITY a ) (TOPPING truffle oil ) ) (COMPLEX_TOPPING (QUANTITY lot of ) (TOPPING cheese ) ) ) )
978,(ORDER (PIZZAORDER (TOPPING chicken ) (TOPPING onions ) ) )
979,(ORDER (PIZZAORDER ) (PIZZAORDER (NUMBER a ) (SIZE lunch size ) (TOPPING shrimp ) ) )
